hn_count,hn_uptime,wait,test_per_slots,hn_to_juror,hn_to_hn,juror_to_juror,size_round,bps_per_node,mean_path,time_to_sync,disconnected,avg_degree,avg_degree_juror,min_degree_juror,max_degree_juror,avg_degree_non_juror
200,0.9,10,5,2,16,6,22138277440.0,245980.0,1.8433929291571467,20.0,0.0,25.150000000000045,24.97252747252743,26.94444444444439,0.0,40.0
200,0.9,10,5,2,16,7,24127641536.0,268084.0,1.8448168839230261,20.0,0.0,27.40999999999999,27.18131868131873,29.722222222222182,0.0,45.0
200,0.9,10,5,2,16,8,25949758208.0,288330.0,1.841906422551582,20.0,0.0,29.480000000000008,28.96703296703299,34.66666666666662,19.0,47.0
200,0.9,10,5,2,16,9,25703288320.0,285592.0,1.8420681551116334,20.0,0.0,29.199999999999967,29.390109890109827,27.277777777777814,0.0,35.0
200,0.9,10,5,2,16,10,22543192256.0,250479.0,1.8416292669658667,20.0,0.0,25.609999999999992,24.80662983425417,33.263157894736786,0.0,48.0
200,0.9,10,5,2,16,11,26495512960.0,294394.0,1.8382446963092114,20.0,0.0,30.09999999999994,29.430939226519364,36.47368421052627,0.0,47.0
200,0.9,10,5,2,16,12,24330098944.0,270334.0,1.843387106898498,20.0,0.0,27.64,26.879120879120855,35.33333333333338,0.0,50.0
200,0.9,10,5,2,17,6,25351188480.0,281679.0,1.8342023587833607,20.0,0.0,28.800000000000026,29.215469613259714,24.842105263157915,0.0,35.0
200,0.9,10,5,2,17,7,25404003456.0,282266.0,1.8318372983491331,20.0,0.0,28.860000000000003,29.054945054945122,26.88888888888886,0.0,37.0
200,0.9,10,5,2,17,8,25377595968.0,281973.0,1.8324650053355078,20.0,0.0,28.82999999999996,29.163934426229513,25.235294117647026,0.0,37.0
200,0.9,10,5,2,17,9,24057221568.0,267302.0,1.832901468340972,20.0,0.0,27.32999999999996,27.425414364640837,26.421052631578906,0.0,42.0
200,0.9,10,5,2,17,10,26205030592.0,291167.0,1.83081645181093,20.0,0.0,29.769999999999985,29.63535911602215,31.0526315789474,0.0,43.0
200,0.9,10,5,2,17,11,26072993152.0,289699.0,1.8319056486654217,20.0,0.0,29.619999999999933,28.96703296703299,36.22222222222218,0.0,49.0
200,0.9,10,5,2,17,12,24365308928.0,270725.0,1.8294797687861246,20.0,0.0,27.67999999999997,26.685082872928152,37.15789473684209,0.0,48.0
200,0.9,10,5,2,18,6,26389883008.0,293220.0,1.8227355470466398,20.0,0.0,29.980000000000015,29.989010989011025,29.888888888888843,22.0,39.0
200,0.9,10,5,2,18,7,26513117952.0,294590.0,1.8209779674847753,20.0,0.0,30.119999999999926,30.450549450549406,26.777777777777814,0.0,42.0
200,0.9,10,5,2,18,8,27771874880.0,308576.0,1.8204116325663315,20.0,0.0,31.55000000000004,31.721311475409838,29.705882352941135,0.0,39.0
200,0.9,10,5,2,18,9,25157533568.0,279528.0,1.822470267756299,20.0,0.0,28.57999999999996,28.596685082872977,28.421052631578895,0.0,40.0
200,0.9,10,5,2,18,10,26953242752.0,299480.0,1.8211662795806938,20.0,0.0,30.619999999999926,30.53038674033147,31.473684210526272,0.0,50.0
200,0.9,10,5,2,18,11,27551812480.0,306131.0,1.8208103130755056,20.0,0.0,31.30000000000004,31.16574585635362,32.578947368421126,0.0,44.0
200,0.9,10,5,2,18,12,24955076160.0,277278.0,1.824017407860737,20.0,0.0,28.34999999999995,27.426229508196688,38.2941176470589,0.0,50.0
200,0.9,10,5,2,19,6,30104536320.0,334494.0,1.813658820110437,20.0,0.0,34.199999999999946,34.912087912087856,27.0,0.0,41.0
200,0.9,10,5,2,19,7,27287737600.0,303197.0,1.8127889060092455,20.0,0.0,31.0,31.186813186813193,29.111111111111153,0.0,40.0
